Date,Open,High,Low,Close,Volume,MarketCap,CryptoName,market_billion,Change
2018-05-14,732.73,742.17,695.79,730.55,3005110016.0,72645181706.0,ethereum,72.645181706,-0.002975175030365979
2018-05-13,687.17,741.31,675.32,733.5,2362500096.0,72923278119.0,ethereum,72.923278119,0.06742145320663015
2018-05-12,679.88,691.41,644.07,686.05,2668480000.0,68192028458.0,ethereum,68.192028458,0.009075130905453843
2018-05-11,727.01,736.98,669.83,679.59,3290080000.0,67535702572.0,ethereum,67.535702572,-0.06522606291522808
2018-05-10,752.58,766.75,726.66,727.28,2748950016.0,72260117775.0,ethereum,72.260117775,-0.03361768848494521
2018-05-09,752.9,759.53,718.47,752.28,2877870080.0,74728439730.0,ethereum,74.72843973,-0.0008234825342010952
2018-05-08,755.01,774.25,728.13,752.86,2920489984.0,74770813968.0,ethereum,74.770813968,-0.0028476444020608697
2018-05-07,793.34,795.76,710.18,753.72,4316120064.0,74841655792.0,ethereum,74.841655792,-0.04994075680036303
2018-05-06,816.09,835.06,764.88,792.31,3105570048.0,78656662788.0,ethereum,78.656662788,-0.029138943008736887
2018-05-05,784.58,827.46,784.24,816.12,3035040000.0,81003446783.0,ethereum,81.003446783,0.04019985215019496
2018-05-04,776.78,803.75,762.63,785.62,3533410048.0,77960306236.0,ethereum,77.960306236,0.011380313602307
2018-05-03,686.59,784.34,686.59,779.54,4210939904.0,77340839220.0,ethereum,77.34083922,0.1353791928224995
2018-05-02,674.08,688.84,667.42,687.15,2822269952.0,68159979253.0,ethereum,68.159979253,0.019389389983384665
2018-05-01,670.46,674.4,637.54,673.61,2678960128.0,66803233984.0,ethereum,66.803233984,0.004698266861557702
2018-04-30,689.76,694.44,666.12,669.92,2853100032.0,66423712256.0,ethereum,66.423712256,-0.028763627928554907
2018-04-29,683.91,697.76,670.51,688.88,2740559872.0,68289153706.0,ethereum,68.289153706,0.0072670380605635645
2018-04-28,644.65,691.44,644.65,683.68,2496659968.0,67759208004.0,ethereum,67.759208004,0.06054448150158997
2018-04-27,662.11,684.87,647.03,647.03,2598129920.0,64114105428.0,ethereum,64.114105428,-0.02277567171618015
2018-04-26,618.08,663.18,604.01,662.81,2984009984.0,65663946135.0,ethereum,65.663946135,0.07236927258607284
2018-04-25,707.06,707.06,600.21,615.42,4216140032.0,60955966711.0,ethereum,60.955966711,-0.12960710547902582
2018-04-24,643.4,708.88,643.4,708.16,3581860096.0,70127342534.0,ethereum,70.127342534,0.10065278209511967
2018-04-23,621.2,646.7,621.03,642.55,2386830080.0,63617020167.0,ethereum,63.617020167,0.03436896329684467
2018-04-22,606.12,640.77,593.87,621.86,2426269952.0,61556034015.0,ethereum,61.556034015,0.025968455091401058
2018-04-21,616.0,621.89,578.55,605.4,2612460032.0,59913832194.0,ethereum,59.913832194,-0.017207792207792245
2018-04-20,567.99,618.72,560.28,615.72,2849469952.0,60922818296.0,ethereum,60.922818296,0.08403316959805633
2018-04-19,524.04,567.89,523.26,567.89,2256869888.0,56178772001.0,ethereum,56.178772001,0.08367681856346848
2018-04-18,503.31,525.09,503.05,524.79,1762940032.0,51904227886.0,ethereum,51.904227886,0.04267747511474034
2018-04-17,511.14,518.03,502.56,502.89,1760359936.0,49728519115.0,ethereum,49.728519115,-0.01614039206479634
2018-04-16,532.07,534.2,500.25,511.15,1758979968.0,50534185799.0,ethereum,50.534185799,-0.03931813483188316
2018-04-15,502.88,531.7,502.88,531.7,1726089984.0,52555419462.0,ethereum,52.555419462,0.05730989500477261
2018-04-14,492.58,512.02,488.28,501.48,1519079936.0,49557725333.0,ethereum,49.557725333,0.01806813106500474
2018-04-13,493.16,526.47,482.66,492.73,2419249920.0,48683660481.0,ethereum,48.683660481,-0.0008719279746938251
2018-04-12,430.16,493.06,417.41,492.94,2519360000.0,48693844481.0,ethereum,48.693844481,0.14594569462525564
2018-04-11,415.02,430.54,412.47,430.54,1439040000.0,42521044920.0,ethereum,42.52104492,0.037395788154787814
2018-04-10,399.41,415.89,393.88,414.24,1196000000.0,40903130396.0,ethereum,40.903130396,0.037129766405447996
2018-04-09,400.86,429.25,390.61,398.53,1478390016.0,39343018191.0,ethereum,39.343018191,-0.0058125031182957665
2018-04-08,385.74,402.59,385.6,400.51,948488000.0,39530560784.0,ethereum,39.530560784,0.038290039923264324
2018-04-07,370.38,393.06,369.94,385.31,951475008.0,38023057371.0,ethereum,38.023057371,0.04030995194124955
2018-04-06,382.73,385.2,366.91,370.29,967105984.0,36532478896.0,ethereum,36.532478896,-0.03250333133018054
2018-04-05,379.95,387.72,369.82,383.23,1210680064.0,37802008408.0,ethereum,37.802008408,0.00863271483089888
2018-04-04,416.48,417.47,375.31,380.54,1287730048.0,37528933631.0,ethereum,37.528933631,-0.08629466000768343
2018-04-03,387.31,418.97,383.53,416.89,1363399936.0,41105280498.0,ethereum,41.105280498,0.07637293124370655
2018-04-02,379.7,395.17,377.59,386.42,1102259968.0,38093277842.0,ethereum,38.093277842,0.017698182775875763
2018-04-01,397.25,400.53,363.8,379.61,1256930048.0,37413407420.0,ethereum,37.41340742,-0.0444052863436123
2018-03-31,395.0,418.47,392.95,396.46,1323920000.0,39066085342.0,ethereum,39.066085342,0.003696202531645518
2018-03-30,385.9,409.93,368.63,394.64,1878130048.0,38879465944.0,ethereum,38.879465944,0.02264835449598344
2018-03-29,448.08,450.81,385.81,385.97,1970230016.0,38016727209.0,ethereum,38.016727209,-0.13861364042135324
2018-03-28,450.29,466.21,444.86,446.28,1514179968.0,43948072321.0,ethereum,43.948072321,-0.008905372093539825
2018-03-27,489.59,491.46,449.97,450.12,1617939968.0,44316774118.0,ethereum,44.316774118,-0.08061847668457275
2018-03-26,524.29,526.38,470.44,489.95,1638880000.0,48228842327.0,ethereum,48.228842327,-0.06549810219534986
2018-03-25,522.7,535.82,515.66,524.29,1151170048.0,51598047955.0,ethereum,51.598047955,0.0030418978381479204
2018-03-24,542.57,545.38,526.08,526.44,1300009984.0,51799123912.0,ethereum,51.799123912,-0.029728882909117706
2018-03-23,539.86,540.49,512.13,539.62,1596349952.0,53084905906.0,ethereum,53.084905906,-0.0004445597006631517
2018-03-22,562.1,577.57,523.09,539.7,1523459968.0,53082150649.0,ethereum,53.082150649,-0.03985056039850556
2018-03-21,559.1,589.61,550.57,561.73,1781270016.0,55237391316.0,ethereum,55.237391316,0.00470398855303165
2018-03-20,556.72,567.09,521.2,557.17,1833680000.0,54777982164.0,ethereum,54.777982164,0.0008083057910618116
2018-03-19,546.63,558.1,519.12,556.73,2046790016.0,54722473140.0,ethereum,54.72247314,0.018476849056948984
2018-03-18,551.64,551.64,460.09,538.64,2685499904.0,52934184182.0,ethereum,52.934184182,-0.02356609382930897
2018-03-17,601.68,609.15,549.1,552.78,1267810048.0,54312035489.0,ethereum,54.312035489,-0.08127243717590743
2018-03-16,611.78,623.17,587.86,601.67,1417350016.0,59103031871.0,ethereum,59.103031871,-0.016525548399751566
2018-03-15,614.84,620.62,579.51,611.3,1770460032.0,60037233577.0,ethereum,60.037233577,-0.005757595471992839
2018-03-14,691.22,702.78,594.1,614.29,1810560000.0,60318025226.0,ethereum,60.318025226,-0.11129596944532864
2018-03-13,698.15,713.73,682.35,690.83,1425959936.0,67819092121.0,ethereum,67.819092121,-0.01048485282532398
2018-03-12,724.41,742.51,683.27,699.83,1764999936.0,68688764839.0,ethereum,68.688764839,-0.033931061139409906
2018-03-11,685.31,735.83,668.12,723.34,1562680064.0,70981343639.0,ethereum,70.981343639,0.05549313449387881
2018-03-10,730.16,748.03,682.7,686.89,1532960000.0,67390487259.0,ethereum,67.390487259,-0.05926098389394103
2018-03-09,702.2,729.16,648.11,728.92,2233019904.0,71498733754.0,ethereum,71.498733754,0.03805183708345188
2018-03-08,752.57,773.77,696.17,704.6,1891640064.0,69098851661.0,ethereum,69.098851661,-0.06374157885645193
2018-03-07,816.27,825.61,726.55,752.83,2175419904.0,73813918307.0,ethereum,73.813918307,-0.07771938206720809
2018-03-06,853.82,853.82,809.93,816.95,1943069952.0,80083929891.0,ethereum,80.083929891,-0.043182403785341175
2018-03-05,866.85,869.92,853.52,853.68,1898489984.0,83667342992.0,ethereum,83.667342992,-0.0151929399550096
2018-03-04,856.19,867.95,840.28,866.68,1697939968.0,84923240778.0,ethereum,84.923240778,0.012251953421553503
2018-03-03,856.71,868.45,855.21,857.22,1699369984.0,83979651073.0,ethereum,83.979651073,0.0005953006268165317
2018-03-02,871.76,876.38,852.42,856.85,1894419968.0,83925690001.0,ethereum,83.925690001,-0.017103331192071174
2018-03-01,856.01,880.3,851.92,872.2,1868519936.0,85410827047.0,ethereum,85.410827047,0.01891333045174712
2018-02-28,877.93,890.11,855.12,855.2,1963980032.0,83728564149.0,ethereum,83.728564149,-0.025890446846559414
2018-02-27,870.36,896.26,867.1,878.27,2053980032.0,85968788108.0,ethereum,85.968788108,0.00908819339124037
2018-02-26,845.28,880.39,842.32,869.32,2044480000.0,85074973200.0,ethereum,85.0749732,0.02844028014385775
2018-02-25,839.46,853.15,822.38,844.81,1646960000.0,82659602549.0,ethereum,82.659602549,0.006373144640602183
2018-02-24,861.59,879.53,818.55,840.52,1926579968.0,82222377928.0,ethereum,82.222377928,-0.02445478707970154
2018-02-23,811.59,886.32,794.79,864.19,2334820096.0,84520567485.0,ethereum,84.520567485,0.06481104991436565
2018-02-22,849.26,875.93,802.67,812.84,2150370048.0,79482140044.0,ethereum,79.482140044,-0.04288439347196378
2018-02-21,894.14,912.38,830.56,849.97,2531729920.0,83095081059.0,ethereum,83.095081059,-0.04939942290916407
2018-02-20,943.57,965.27,892.95,895.37,2545260032.0,87514997546.0,ethereum,87.514997546,-0.051082590586813956
2018-02-19,921.67,957.78,921.55,943.86,2169019904.0,92235641556.0,ethereum,92.235641556,0.024075862293445653
2018-02-18,973.35,982.93,915.45,923.92,2567290112.0,90267805476.0,ethereum,90.267805476,-0.0507833769969693
2018-02-17,944.75,976.59,940.75,974.11,2525720064.0,95151956513.0,ethereum,95.151956513,0.031077004498544603
2018-02-16,934.79,950.01,917.85,944.21,2369449984.0,92211437654.0,ethereum,92.211437654,0.010077129622696085
